source,target
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
2,3
2,4
2,5
2,6
2,7
2,8
2,9
2,10
2,11
3,2
3,4
3,5
3,6
3,7
3,8
3,9
3,10
3,11
4,2
4,3
4,5
4,6
4,7
4,8
4,9
4,10
4,11
5,2
5,3
5,4
5,6
5,7
5,8
5,9
5,10
5,11
6,2
6,3
6,4
6,5
6,7
6,8
6,9
6,10
6,11
7,2
7,3
7,4
7,5
7,6
7,8
7,9
7,10
7,11
8,2
8,3
8,4
8,5
8,6
8,7
8,9
8,10
8,11
9,2
9,3
9,4
9,5
9,6
9,7
9,8
9,10
9,11
10,2
10,3
10,4
10,5
10,6
10,7
10,8
10,9
10,11
11,2
11,3
11,4
11,5
11,6
11,7
11,8
11,9
11,10
12,13
13,14
14,15
15,16
16,17
17,18
18,19
13,14
13,15
13,16
13,17
13,18
13,19
14,13
14,14
14,15
14,16
14,17
14,18
14,19
15,13
15,14
15,16
15,17
15,18
15,19
16,13
16,14
16,15
16,17
16,18
16,19
17,13
17,14
17,15
17,16
17,18
17,19
18,13
18,14
18,15
18,16
18,17
18,19
19,13
19,14
19,15
19,16
19,17
19,18
20,21
20,22
20,23
20,24
20,25
20,26
20,27
20,28
20,29
20,30
20,31
21,22
21,23
21,24
21,25
21,26
21,27
21,28
21,29
21,30
21,31
22,21
22,23
22,24
22,25
22,26
22,27
22,28
22,29
22,30
22,31
23,21
23,22
23,24
23,25
23,26
23,27
23,28
23,29
23,30
23,31
24,21
24,22
24,23
24,25
24,26
24,27
24,28
24,29
24,30
24,31
25,21
25,22
25,23
25,24
25,26
25,27
25,28
25,29
25,30
25,31
26,21
26,22
26,23
26,24
26,25
26,27
26,28
26,29
26,30
26,31
27,21
27,22
27,23
27,24
27,25
27,26
27,28
27,29
27,30
27,31
28,21
28,22
28,23
28,24
28,25
28,26
28,27
28,29
28,30
28,31
29,21
29,22
29,23
29,24
29,25
29,26
29,27
29,28
29,30
29,31
30,21
30,22
30,23
30,24
30,25
30,26
30,27
30,28
30,29
30,31
32,33
32,34
32,35
32,36
32,37
32,38
32,39
32,40
32,41
32,42
32,43
32,44
33,34
33,35
33,36
33,37
33,38
33,39
33,40
33,41
33,42
33,43
33,44
34,33
34,35
34,36
34,37
34,38
34,39
34,40
34,41
34,42
34,43
34,44
35,33
35,34
35,36
35,37
35,38
35,39
35,40
35,41
35,42
35,43
35,44
36,33
36,34
36,35
36,37
36,38
36,39
36,40
36,41
36,42
36,43
36,44
37,33
37,34
37,35
37,36
37,38
37,39
37,40
37,41
37,42
37,43
37,44
38,33
38,34
38,35
38,36
38,37
38,39
38,40
38,41
38,42
38,43
38,44
39,33
39,34
39,35
39,36
39,37
39,38
39,40
39,41
39,42
39,43
39,44
40,33
40,34
40,35
40,36
40,37
40,38
40,39
40,41
40,42
40,43
40,44
41,33
41,34
41,35
41,36
41,37
41,38
41,39
41,40
41,42
41,43
41,44
42,33
42,34
42,35
42,36
42,37
42,38
42,39
42,40
42,41
42,43
42,44
43,33
43,34
43,35
43,36
43,37
43,38
43,39
43,40
43,41
43,42
43,44
45,46
45,47
45,48
45,49
45,50
46,47
46,48
46,49
46,50
47,46
47,48
47,49
47,50
48,46
48,47
48,49
48,50
49,46
49,47
49,48
49,50
51,52
51,53
51,54
51,55
51,56
51,57
51,58
52,53
52,54
52,55
52,56
52,57
52,58
53,52
53,54
53,55
53,56
53,57
53,58
54,52
54,53
54,55
54,56
54,57
54,58
55,52
55,53
55,54
55,56
55,57
55,58
56,52
56,53
56,54
56,55
56,57
56,58
57,52
57,53
57,54
57,55
57,56
57,58
